SUPL,PLANT,S.DOCK,COMP,PLANT,DOCK,Production Routing,PART #,T/C FROM(UNL),T/C TO (UNL),PART DESC,Life Cycle Code,Team Member,Model Name,ORD Method,BvsC REF,KBN,QTY /CONT,V.SHARE FLG[SYS L/O DATE BASIS],V.SHARE VALUE,PC DELIV,PC SAFETY,LS DELIV,LS SAFTY,Safety(PCS),Packaging Type,Part PCS Weight(g),PACK QTY/CONT,Latest Physical Inventory DTE & Time,Create User,Create Date Time,Update User,Update Date Time,V.SHARE GROUP
5560,1,   ,807D,4,43,      ,75740VT02000,20260601,20260604,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,619F,20, ,,0,19,26,42,5,TP3102            ,252,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT02000,20260605,20260630,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,619F,20, ,,0,19,26,42,1,TP3102            ,252,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT02000,20260701,20260731,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,619F,20, ,,0,19,26,42,2,TP3102            ,252,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT02000,20260801,20260831,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,619F,20, ,,0,19,26,28,1,TP3102            ,252,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT02000,20260901,99991231,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,619F,20, ,,0,21,26,30,1,TP3102            ,252,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5875,1,   ,807D,4,43,      ,522190K01000,20260601,20260604,HOLDER  CAB MOUNTINGCUSHION  NO. 2,0,ASSY IMV4   5,520W,1,0,4443,100, ,,0,0,38,42,35,TP331             ,95,100,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5875,1,   ,807D,4,43,      ,522190K01000,20260605,20260630,HOLDER  CAB MOUNTINGCUSHION  NO. 2,0,ASSY IMV4   5,520W,1,0,4443,100, ,,0,0,38,42,5,TP331             ,95,100,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000500,20260501,20260531,PLUG  PLATE,0,ASSY IMV 4 5,408W 520W,1,0,4364,14400, ,,0,0,38,42,14419,TP331             ,1,14400,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000500,20260601,20260604,PLUG  PLATE,0,ASSY IMV 4 5,408W 520W,1,0,4364,14400, ,,0,0,38,42,28850,TP331             ,1,14400,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000500,20260605,20260630,PLUG  PLATE,0,ASSY IMV 4 5,408W 520W,1,0,4364,14400, ,,0,0,38,42,28807,TP331             ,1,14400,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000500,20260701,20260731,PLUG  PLATE,0,ASSY IMV 4 5,408W 520W,1,0,4364,14400, ,,0,0,37,42,14411,TP331             ,1,14400,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
